icao_id,name,latitude,longitude,type
KLAF,Purdue University Airport,40.4123,-86.9369,airport
KIND,Indianapolis International Airport,39.7173,-86.2944,airport
KTYQ,Indianapolis Executive Airport,40.0306,-86.2514,airport
KCFJ,Crawfordsville Regional Airport,39.9756,-86.9197,airport
KEYE,Eagle Creek Airpark,39.8307,-86.2944,airport
KUMP,Indianapolis Metropolitan Airport,39.9352,-86.0450,airport
KGUS,Grissom Air Reserve Base,40.6481,-86.1521,airport
KBMG,Monroe County Airport,39.1460,-86.6167,airport
